City_ID,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
466,micheweni,TZ,0,1572505961,79,-4.97,39.83,81.34,9.75
467,yenagoa,NG,100,1572505961,93,4.92,6.26,75.27,2.75
468,bunol,ES,95,1572505961,72,39.42,-0.78,69.01,9.17
469,natal,BR,40,1572505962,88,-5.81,-35.21,71.6,3.36
470,general roca,AR,43,1572505963,26,-39.03,-67.58,63.55,24.76
471,ulladulla,AU,2,1572505963,44,-35.36,150.48,81.0,12.75
472,kota tinggi,MY,75,1572505963,52,1.73,103.9,91.4,6.93
473,marmaris,TR,0,1572505964,72,36.85,28.27,71.6,5.82
474,manono,CD,60,1572505965,80,-7.3,27.4,76.48,3.22
475,aykhal,RU,75,1572505965,84,65.95,111.51,6.8,8.95
476,kargat,RU,100,1572505965,87,55.19,80.28,35.8,8.99
477,acapulco,MX,40,1572505891,88,16.86,-99.88,80.6,4.7
478,saint-denis,FR,75,1572505965,93,48.94,2.36,48.99,6.93
479,shubarkuduk,KZ,95,1572505965,61,49.15,56.49,44.24,19.84
480,lavrentiya,RU,18,1572505965,68,65.58,-170.99,27.25,6.67
481,miranda,BR,72,1572505965,49,-20.24,-56.38,81.55,3.18
482,ust-kut,RU,98,1572505966,69,56.78,105.75,23.97,6.98
483,la ronge,CA,90,1572505966,92,55.1,-105.3,26.6,4.7
484,beirut,LB,20,1572505966,47,33.9,35.48,77.0,3.36
485,samut sakhon,TH,95,1572505966,46,13.55,100.27,93.99,5.82
486,ouallam,NE,83,1572505966,40,14.32,2.08,83.98,4.59
487,panjab,AF,98,1572505966,46,34.38,67.02,43.36,9.22
488,young,UY,39,1572505966,93,-32.7,-57.63,57.0,4.0
489,laguna,BZ,40,1572505967,94,16.17,-88.94,77.0,4.7
490,bodden town,KY,78,1572505967,82,19.28,-81.25,82.99,3.0
491,schramberg,DE,90,1572505967,93,48.23,8.39,45.0,5.82
492,houma,CN,0,1572505967,20,35.63,111.36,68.65,4.65
